,roleType,Campus,SessionName,Session code,clientId,matchId,groupId,role,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,choice11,choice12,centiPayoff,gender,grade,birth_year,birth_month,birth_day,younger_siblings,older_siblings,school_topics
744,blue,Burbank,S2,    2szv4en8,6,7,3,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,8,2005,June,28,No,No,History
745,orange,Burbank,S2,    2szv4en8,4,7,6,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,M,8,2005,May,25,No,Yes,Math
746,orange,Burbank,S2,    2szv4en8,3,7,1,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,8,2005,November,5,Yes,No,Sciences &amp; Technology
747,orange,Burbank,S2,    2szv4en8,1,7,2,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,8,2005,February,11,Yes,No,Literature
748,orange,Burbank,S2,    2szv4en8,2,7,4,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,8,2005,December,16,No,Yes,Sciences &amp; Technology
749,orange,Burbank,S2,    2szv4en8,5,7,3,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,8,2005,May,13,Yes,No,Math
750,blue,Burbank,S3,zxvwjudx,6,3,1,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,F,7,2006,September,24,Yes,No,Art &amp; Music
751,orange,Burbank,S3,zxvwjudx,5,3,6,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,F,7,2006,January,17,No,No,Art &amp; Music
752,blue,Burbank,S3,zxvwjudx,2,3,3,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,F,7,2006,March,15,Yes,No,Art &amp; Music
753,blue,Burbank,S3,zxvwjudx,4,3,4,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,M,7,2006,September,2,No,Yes,Art &amp; Music
754,blue,Burbank,S3,zxvwjudx,3,3,7,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,F,7,2006,May,9,No,Yes,Art &amp; Music
755,blue,Burbank,S3,zxvwjudx,1,3,5,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,F,7,2006,September,29,No,Yes,Art &amp; Music
756,orange,Burbank,S3,zxvwjudx,14,3,3,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,F,7,2006,September,26,Yes,No,Math
757,blue,Burbank,S3,zxvwjudx,13,3,6,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,7,2006,December,30,Yes,No,Art &amp; Music
758,blue,Burbank,S3,zxvwjudx,12,3,2,blue,arrow,None,arrow,None,arrow,None,arrow,None,arrow,None,None,None,50,M,7,2005,November,19,No,No,Languages
759,orange,Burbank,S3,zxvwjudx,11,3,5,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,M,7,2007,August,8,Yes,No,Art &amp; Music
760,orange,Burbank,S3,zxvwjudx,10,3,7,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,F,7,2005,November,27,Yes,No,Art &amp; Music
761,orange,Burbank,S3,zxvwjudx,9,3,2,orange,None,arrow,None,arrow,None,arrow,None,arrow,None,stop,None,None,730,M,7,2006,November,24,Yes,No,Art &amp; Music
762,orange,Burbank,S3,zxvwjudx,8,3,4,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,F,7,2005,December,31,No,No,Languages
763,orange,Burbank,S3,zxvwjudx,7,3,1,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,M,7,2005,March,20,No,No,Art &amp; Music
764,blue,Burbank,S3,zxvwjudx,6,4,2,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,7,2006,September,24,Yes,No,Art &amp; Music
765,orange,Burbank,S3,zxvwjudx,5,4,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,7,2006,January,17,No,No,Art &amp; Music
766,blue,Burbank,S3,zxvwjudx,2,4,3,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,7,2006,March,15,Yes,No,Art &amp; Music
767,blue,Burbank,S3,zxvwjudx,4,4,7,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,7,2006,September,2,No,Yes,Art &amp; Music
768,blue,Burbank,S3,zxvwjudx,3,4,6,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,7,2006,May,9,No,Yes,Art &amp; Music
769,blue,Burbank,S3,zxvwjudx,1,4,5,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,7,2006,September,29,No,Yes,Art &amp; Music
770,orange,Burbank,S3,zxvwjudx,14,4,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,7,2006,September,26,Yes,No,Math
771,blue,Burbank,S3,zxvwjudx,13,4,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,7,2006,December,30,Yes,No,Art &amp; Music
772,blue,Burbank,S3,zxvwjudx,12,4,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,7,2005,November,19,No,No,Languages
773,orange,Burbank,S3,zxvwjudx,11,4,7,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,7,2007,August,8,Yes,No,Art &amp; Music
774,orange,Burbank,S3,zxvwjudx,10,4,5,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,7,2005,November,27,Yes,No,Art &amp; Music
775,orange,Burbank,S3,zxvwjudx,9,4,3,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,7,2006,November,24,Yes,No,Art &amp; Music
776,orange,Burbank,S3,zxvwjudx,8,4,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,7,2005,December,31,No,No,Languages
777,orange,Burbank,S3,zxvwjudx,7,4,6,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,7,2005,March,20,No,No,Art &amp; Music
778,blue,Burbank,S3,zxvwjudx,6,5,7,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,F,7,2006,September,24,Yes,No,Art &amp; Music
779,orange,Burbank,S3,zxvwjudx,5,5,3,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,F,7,2006,January,17,No,No,Art &amp; Music
780,blue,Burbank,S3,zxvwjudx,2,5,6,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,F,7,2006,March,15,Yes,No,Art &amp; Music
781,blue,Burbank,S3,zxvwjudx,4,5,1,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,M,7,2006,September,2,No,Yes,Art &amp; Music
782,blue,Burbank,S3,zxvwjudx,3,5,3,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,F,7,2006,May,9,No,Yes,Art &amp; Music
783,blue,Burbank,S3,zxvwjudx,1,5,2,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,F,7,2006,September,29,No,Yes,Art &amp; Music
784,orange,Burbank,S3,zxvwjudx,14,5,4,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,F,7,2006,September,26,Yes,No,Math
785,blue,Burbank,S3,zxvwjudx,13,5,4,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,M,7,2006,December,30,Yes,No,Art &amp; Music
786,blue,Burbank,S3,zxvwjudx,12,5,5,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,M,7,2005,November,19,No,No,Languages
787,orange,Burbank,S3,zxvwjudx,11,5,2,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,M,7,2007,August,8,Yes,No,Art &amp; Music
788,orange,Burbank,S3,zxvwjudx,10,5,6,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,7,2005,November,27,Yes,No,Art &amp; Music
789,orange,Burbank,S3,zxvwjudx,9,5,7,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,M,7,2006,November,24,Yes,No,Art &amp; Music
790,orange,Burbank,S3,zxvwjudx,8,5,1,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,7,2005,December,31,No,No,Languages
791,orange,Burbank,S3,zxvwjudx,7,5,5,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,M,7,2005,March,20,No,No,Art &amp; Music
792,blue,Burbank,S3,    zxvwjudx,6,6,4,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,7,2006,September,24,Yes,No,Art &amp; Music
793,orange,Burbank,S3,    zxvwjudx,5,6,4,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,7,2006,January,17,No,No,Art &amp; Music
794,blue,Burbank,S3,    zxvwjudx,2,6,1,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,7,2006,March,15,Yes,No,Art &amp; Music
795,blue,Burbank,S3,    zxvwjudx,4,6,7,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,M,7,2006,September,2,No,Yes,Art &amp; Music
796,blue,Burbank,S3,    zxvwjudx,3,6,5,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,7,2006,May,9,No,Yes,Art &amp; Music
797,blue,Burbank,S3,    zxvwjudx,1,6,2,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,7,2006,September,29,No,Yes,Art &amp; Music
798,orange,Burbank,S3,    zxvwjudx,14,6,5,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,F,7,2006,September,26,Yes,No,Math
799,blue,Burbank,S3,    zxvwjudx,13,6,6,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,M,7,2006,December,30,Yes,No,Art &amp; Music
800,blue,Burbank,S3,    zxvwjudx,12,6,3,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,M,7,2005,November,19,No,No,Languages
801,orange,Burbank,S3,    zxvwjudx,11,6,7,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,M,7,2007,August,8,Yes,No,Art &amp; Music
802,orange,Burbank,S3,    zxvwjudx,10,6,1,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,7,2005,November,27,Yes,No,Art &amp; Music
803,orange,Burbank,S3,    zxvwjudx,9,6,6,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,M,7,2006,November,24,Yes,No,Art &amp; Music
804,orange,Burbank,S3,    zxvwjudx,8,6,2,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,F,7,2005,December,31,No,No,Languages
805,orange,Burbank,S3,    zxvwjudx,7,6,3,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,M,7,2005,March,20,No,No,Art &amp; Music
806,blue,Burbank,S3,    zxvwjudx,6,7,4,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,F,7,2006,September,24,Yes,No,Art &amp; Music
807,orange,Burbank,S3,    zxvwjudx,5,7,5,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,F,7,2006,January,17,No,No,Art &amp; Music
808,blue,Burbank,S3,    zxvwjudx,2,7,7,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,F,7,2006,March,15,Yes,No,Art &amp; Music
809,blue,Burbank,S3,    zxvwjudx,4,7,3,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,M,7,2006,September,2,No,Yes,Art &amp; Music
810,blue,Burbank,S3,    zxvwjudx,3,7,6,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,F,7,2006,May,9,No,Yes,Art &amp; Music
811,blue,Burbank,S3,    zxvwjudx,1,7,2,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,F,7,2006,September,29,No,Yes,Art &amp; Music
812,orange,Burbank,S3,    zxvwjudx,14,7,3,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,7,2006,September,26,Yes,No,Math
813,blue,Burbank,S3,    zxvwjudx,13,7,1,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,M,7,2006,December,30,Yes,No,Art &amp; Music
814,blue,Burbank,S3,    zxvwjudx,12,7,5,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,M,7,2005,November,19,No,No,Languages
815,orange,Burbank,S3,    zxvwjudx,11,7,4,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,M,7,2007,August,8,Yes,No,Art &amp; Music
816,orange,Burbank,S3,    zxvwjudx,10,7,7,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,7,2005,November,27,Yes,No,Art &amp; Music
817,orange,Burbank,S3,    zxvwjudx,9,7,2,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,M,7,2006,November,24,Yes,No,Art &amp; Music
818,orange,Burbank,S3,    zxvwjudx,8,7,6,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,7,2005,December,31,No,No,Languages
819,orange,Burbank,S3,    zxvwjudx,7,7,1,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,M,7,2005,March,20,No,No,Art &amp; Music
820,blue,Burbank,S4,kzmug0xu,10,3,3,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,8,2005,December,8,No,Yes,Languages
821,blue,Burbank,S4,kzmug0xu,8,3,1,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,8,2005,September,27,No,Yes,Art &amp; Music
822,orange,Burbank,S4,kzmug0xu,7,3,4,orange,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,590,M,8,2005,April,28,Yes,No,Math
823,orange,Burbank,S4,kzmug0xu,5,3,1,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,November,8,Yes,No,Math
824,orange,Burbank,S4,kzmug0xu,9,3,2,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,8,2005,December,6,Yes,No,Math
825,orange,Burbank,S4,kzmug0xu,6,3,5,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,8,2005,February,20,No,Yes,Math
826,orange,Burbank,S4,kzmug0xu,4,3,3,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,8,2005,January,18,Yes,No,Art &amp; Music
827,blue,Burbank,S4,kzmug0xu,3,3,5,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,M,8,2005,July,1,No,No,History
828,blue,Burbank,S4,kzmug0xu,2,3,2,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,M,8,2005,October,4,No,Yes,Languages
829,blue,Burbank,S4,kzmug0xu,1,3,4,blue,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,None,50,M,8,2005,September,22,No,Yes,Sciences &amp; Technology
830,blue,Burbank,S4,kzmug0xu,10,4,1,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,8,2005,December,8,No,Yes,Languages
831,blue,Burbank,S4,kzmug0xu,8,4,3,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,8,2005,September,27,No,Yes,Art &amp; Music
832,orange,Burbank,S4,kzmug0xu,7,4,3,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,April,28,Yes,No,Math
833,orange,Burbank,S4,kzmug0xu,5,4,1,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,November,8,Yes,No,Math
834,orange,Burbank,S4,kzmug0xu,9,4,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,8,2005,December,6,Yes,No,Math
835,orange,Burbank,S4,kzmug0xu,6,4,5,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,8,2005,February,20,No,Yes,Math
836,orange,Burbank,S4,kzmug0xu,4,4,4,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,F,8,2005,January,18,Yes,No,Art &amp; Music
837,blue,Burbank,S4,kzmug0xu,3,4,2,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,July,1,No,No,History
838,blue,Burbank,S4,kzmug0xu,2,4,4,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,8,2005,October,4,No,Yes,Languages
839,blue,Burbank,S4,kzmug0xu,1,4,5,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,September,22,No,Yes,Sciences &amp; Technology
840,blue,Burbank,S4,kzmug0xu,10,5,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,8,2005,December,8,No,Yes,Languages
841,blue,Burbank,S4,kzmug0xu,8,5,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,8,2005,September,27,No,Yes,Art &amp; Music
842,orange,Burbank,S4,kzmug0xu,7,5,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,April,28,Yes,No,Math
843,orange,Burbank,S4,kzmug0xu,5,5,2,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,November,8,Yes,No,Math
844,orange,Burbank,S4,kzmug0xu,9,5,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,December,6,Yes,No,Math
845,orange,Burbank,S4,kzmug0xu,6,5,3,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,M,8,2005,February,20,No,Yes,Math
846,orange,Burbank,S4,kzmug0xu,4,5,5,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,8,2005,January,18,Yes,No,Art &amp; Music
847,blue,Burbank,S4,kzmug0xu,3,5,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,8,2005,July,1,No,No,History
848,blue,Burbank,S4,kzmug0xu,2,5,3,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,8,2005,October,4,No,Yes,Languages
849,blue,Burbank,S4,kzmug0xu,1,5,5,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,September,22,No,Yes,Sciences &amp; Technology
850,blue,Burbank,S4,    kzmug0xu,10,6,1,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,8,2005,December,8,No,Yes,Languages
851,blue,Burbank,S4,    kzmug0xu,8,6,5,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,8,2005,September,27,No,Yes,Art &amp; Music
852,orange,Burbank,S4,    kzmug0xu,7,6,4,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,April,28,Yes,No,Math
853,orange,Burbank,S4,    kzmug0xu,5,6,3,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,8,2005,November,8,Yes,No,Math
854,orange,Burbank,S4,    kzmug0xu,9,6,2,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,8,2005,December,6,Yes,No,Math
855,orange,Burbank,S4,    kzmug0xu,6,6,5,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,February,20,No,Yes,Math
856,orange,Burbank,S4,    kzmug0xu,4,6,1,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,F,8,2005,January,18,Yes,No,Art &amp; Music
857,blue,Burbank,S4,    kzmug0xu,3,6,4,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,8,2005,July,1,No,No,History
858,blue,Burbank,S4,    kzmug0xu,2,6,3,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,October,4,No,Yes,Languages
859,blue,Burbank,S4,    kzmug0xu,1,6,2,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,M,8,2005,September,22,No,Yes,Sciences &amp; Technology
860,blue,Burbank,S4,    kzmug0xu,10,7,5,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,December,8,No,Yes,Languages
861,blue,Burbank,S4,    kzmug0xu,8,7,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,8,2005,September,27,No,Yes,Art &amp; Music
862,orange,Burbank,S4,    kzmug0xu,7,7,3,blue,arrow,None,arrow,None,arrow,None,stop,None,None,None,None,None,520,M,8,2005,April,28,Yes,No,Math
863,orange,Burbank,S4,    kzmug0xu,5,7,5,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,8,2005,November,8,Yes,No,Math
864,orange,Burbank,S4,    kzmug0xu,9,7,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,December,6,Yes,No,Math
865,orange,Burbank,S4,    kzmug0xu,6,7,1,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,8,2005,February,20,No,Yes,Math
866,orange,Burbank,S4,    kzmug0xu,4,7,2,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,8,2005,January,18,Yes,No,Art &amp; Music
867,blue,Burbank,S4,    kzmug0xu,3,7,1,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,8,2005,July,1,No,No,History
868,blue,Burbank,S4,    kzmug0xu,2,7,2,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,8,2005,October,4,No,Yes,Languages
869,blue,Burbank,S4,    kzmug0xu,1,7,3,orange,None,arrow,None,arrow,None,arrow,None,None,None,None,None,None,50,M,8,2005,September,22,No,Yes,Sciences &amp; Technology
870,blue,Burbank,S5,y94w537d,12,3,1,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,6,2007,June,23,Yes,No,Math
871,orange,Burbank,S5,y94w537d,11,3,6,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,M,6,2007,March,17,No,Yes,Sciences &amp; Technology
872,orange,Burbank,S5,y94w537d,10,3,5,orange,None,arrow,None,arrow,None,stop,None,None,None,None,None,None,450,F,6,2007,September,14,Yes,No,Sciences &amp; Technology
873,orange,Burbank,S5,y94w537d,9,3,4,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,6,2007,January,25,No,Yes,Art &amp; Music
874,blue,Burbank,S5,y94w537d,8,3,2,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,6,2007,November,11,No,Yes,Math
875,blue,Burbank,S5,y94w537d,7,3,5,blue,arrow,None,arrow,None,arrow,None,None,None,None,None,None,None,50,F,6,2007,November,24,No,No,Literature
876,orange,Burbank,S5,y94w537d,6,3,3,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,6,2007,December,5,No,Yes,Art &amp; Music
877,blue,Burbank,S5,y94w537d,5,3,6,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,F,6,2007,November,19,No,No,Art &amp; Music
878,orange,Burbank,S5,y94w537d,4,3,1,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,F,6,2007,November,3,Yes,No,Art &amp; Music
879,blue,Burbank,S5,y94w537d,3,3,4,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,6,2007,January,13,Yes,No,Art &amp; Music
880,blue,Burbank,S5,y94w537d,2,3,3,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,6,2006,September,14,No,No,History
881,orange,Burbank,S5,y94w537d,1,3,2,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,6,2007,May,31,No,Yes,Art &amp; Music
882,blue,Burbank,S5,y94w537d,12,4,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,6,2007,June,23,Yes,No,Math
883,orange,Burbank,S5,y94w537d,11,4,6,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,6,2007,March,17,No,Yes,Sciences &amp; Technology
884,orange,Burbank,S5,y94w537d,10,4,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,6,2007,September,14,Yes,No,Sciences &amp; Technology
885,orange,Burbank,S5,y94w537d,9,4,5,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,6,2007,January,25,No,Yes,Art &amp; Music
886,blue,Burbank,S5,y94w537d,8,4,5,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,F,6,2007,November,11,No,Yes,Math
887,blue,Burbank,S5,y94w537d,7,4,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,6,2007,November,24,No,No,Literature
888,orange,Burbank,S5,y94w537d,6,4,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,6,2007,December,5,No,Yes,Art &amp; Music
889,blue,Burbank,S5,y94w537d,5,4,6,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,6,2007,November,19,No,No,Art &amp; Music
890,orange,Burbank,S5,y94w537d,4,4,3,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,6,2007,November,3,Yes,No,Art &amp; Music
891,blue,Burbank,S5,y94w537d,3,4,2,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,6,2007,January,13,Yes,No,Art &amp; Music
892,blue,Burbank,S5,y94w537d,2,4,3,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,6,2006,September,14,No,No,History
893,orange,Burbank,S5,y94w537d,1,4,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,6,2007,May,31,No,Yes,Art &amp; Music
894,blue,Burbank,S5,y94w537d,12,5,6,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,6,2007,June,23,Yes,No,Math
895,orange,Burbank,S5,y94w537d,11,5,3,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,M,6,2007,March,17,No,Yes,Sciences &amp; Technology
896,orange,Burbank,S5,y94w537d,10,5,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,6,2007,September,14,Yes,No,Sciences &amp; Technology
897,orange,Burbank,S5,y94w537d,9,5,4,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,6,2007,January,25,No,Yes,Art &amp; Music
898,blue,Burbank,S5,y94w537d,8,5,4,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,6,2007,November,11,No,Yes,Math
899,blue,Burbank,S5,y94w537d,7,5,2,orange,None,arrow,None,arrow,None,None,None,None,None,None,None,None,50,F,6,2007,November,24,No,No,Literature
900,orange,Burbank,S5,y94w537d,6,5,5,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,6,2007,December,5,No,Yes,Art &amp; Music
901,blue,Burbank,S5,y94w537d,5,5,3,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,F,6,2007,November,19,No,No,Art &amp; Music
902,orange,Burbank,S5,y94w537d,4,5,6,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,6,2007,November,3,Yes,No,Art &amp; Music
903,blue,Burbank,S5,y94w537d,3,5,5,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,6,2007,January,13,Yes,No,Art &amp; Music
904,blue,Burbank,S5,y94w537d,2,5,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,6,2006,September,14,No,No,History
905,orange,Burbank,S5,y94w537d,1,5,2,blue,arrow,None,arrow,None,stop,None,None,None,None,None,None,None,380,M,6,2007,May,31,No,Yes,Art &amp; Music
906,blue,Burbank,S5,    y94w537d,12,6,2,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,6,2007,June,23,Yes,No,Math
907,orange,Burbank,S5,    y94w537d,11,6,4,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,6,2007,March,17,No,Yes,Sciences &amp; Technology
908,orange,Burbank,S5,    y94w537d,10,6,1,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,6,2007,September,14,Yes,No,Sciences &amp; Technology
909,orange,Burbank,S5,    y94w537d,9,6,6,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,6,2007,January,25,No,Yes,Art &amp; Music
910,blue,Burbank,S5,    y94w537d,8,6,3,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,6,2007,November,11,No,Yes,Math
